,pair,precision@1,precision@3,precision@5,precision@10,precision@30,MAP
65,math.OC-->physics.bio-ph,0.9704545454545455,0.9704545454545455,0.9704545454545455,0.9704545454545455,0.9704545454545455,0.9704697271900438
66,math.OC-->physics.soc-ph,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9646792446850225
67,math.OC-->cs.CV,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9792921686746988
68,math.OC-->physics.data-an,0.9597754911131899,0.9597754911131899,0.9597754911131899,0.9597754911131899,0.9597754911131899,0.9597857246069241
69,math.OC-->nlin.AO,0.953125,0.953125,0.953125,0.953125,0.953125,0.9533112431304906
70,math.OC-->cs.SI,0.9496021220159151,0.9496021220159151,0.9496021220159151,0.9496021220159151,0.9496021220159151,0.9496163166717987
71,math.OC-->cond-mat.dis-nn,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.946236559139785,0.9462607738066794
72,cs.SI-->cond-mat.stat-mech,0.9652014652014652,0.9652014652014652,0.9652014652014652,0.9652014652014652,0.9652014652014652,0.9653194452924099
73,cs.SI-->q-bio.MN,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583953098264687
74,cs.SI-->physics.bio-ph,0.930576070901034,0.930576070901034,0.930576070901034,0.930576070901034,0.930576070901034,0.9306360266176313
75,cs.SI-->physics.soc-ph,0.959866220735786,0.959866220735786,0.959866220735786,0.959866220735786,0.959866220735786,0.9599505716898811
76,cs.SI-->cs.CV,1.0,1.0,1.0,1.0,1.0,1.0
77,cs.SI-->physics.data-an,0.9830595482546202,0.9830595482546202,0.9830595482546202,0.9830595482546202,0.9830595482546202,0.983066515133702
78,cs.SI-->nlin.AO,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9539946405437012
79,cs.SI-->math.OC,0.9628647214854111,0.9628647214854111,0.9628647214854111,0.9628647214854111,0.96684350132626,0.9631007080468824
80,cs.SI-->cond-mat.dis-nn,0.9346195069667739,0.9346195069667739,0.9346195069667739,0.9346195069667739,0.9346195069667739,0.9346626754442571
81,cond-mat.dis-nn-->cond-mat.stat-mech,0.9599198396793587,0.9599198396793587,0.9599198396793587,0.9599198396793587,0.9639278557114228,0.9602540141234343
82,cond-mat.dis-nn-->q-bio.MN,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9703526682843798
83,cond-mat.dis-nn-->physics.bio-ph,0.9636723910171731,0.9636723910171731,0.9636723910171731,0.9636723910171731,0.9636723910171731,0.9637039633289312
84,cond-mat.dis-nn-->physics.soc-ph,0.9733570159857904,0.9733570159857904,0.9733570159857904,0.9733570159857904,0.9733570159857904,0.9735091181285794
85,cond-mat.dis-nn-->cs.CV,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.9949609473418998
86,cond-mat.dis-nn-->physics.data-an,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428767574820215
87,cond-mat.dis-nn-->nlin.AO,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9778823178016726
88,cond-mat.dis-nn-->math.OC,0.96415770609319,0.96415770609319,0.96415770609319,0.96415770609319,0.96415770609319,0.9642350454445592
89,cond-mat.dis-nn-->cs.SI,0.932475884244373,0.932475884244373,0.932475884244373,0.932475884244373,0.932475884244373,0.9325002223728179
